Name,idx,amine_class,smiles,acid_or_base,source,formula,pka_value,0,inchi_key,pka_type
MEA,0,primary,NCCO,base,jnoroozi,C2H7NO,9.44,127164,HZAXFHJVJLSVMW-UHFFFAOYSA-N,pKAH1
EDA,0,primary,NCCN,base,jnoroozi,C2H8N2,9.9,127158,PIICEJLVQHRZGT-UHFFFAOYSA-N,pKAH1
IPA,3,primary,CC(C)N,base,jnoroozi,C3H9N,10.68,127161,JJWLVOIRVHMVIS-UHFFFAOYSA-N,pKAH1
PA,3,primary,CCCN,base,jnoroozi,C3H9N,10.6,127169,WGYKZJWCGVVSQN-UHFFFAOYSA-N,pKAH1
1AP,3,primary,CC(CN)O,base,jnoroozi,C3H9NO,9.45,127137,HXKKHQJGJAFBHI-UHFFFAOYSA-N,pKAH1
2AP,4,primary,CC(CO)N,base,jnoroozi,C3H9NO,9.4,127140,BKMMTJMQCTUHRP-UHFFFAOYSA-N,pKAH1
3AP,2,primary,C(CN)CO,base,jnoroozi,C3H9NO,9.96,127144,WUGQZFFCHPXWKQ-UHFFFAOYSA-N,pKAH1
MAE,1,secondary,CNCCO,base,jnoroozi,C3H9NO,9.85,127162,OPKOKAMJFNKNAS-UHFFFAOYSA-N,pKAH1
SAPD,4,primary,C(C(CO)N)O,base,jnoroozi,C3H9NO2,8.55,127170,KJJPLEZQSCZCKE-UHFFFAOYSA-N,pKAH1
DA,2,secondary,CCNCC,base,jnoroozi,C4H11N,10.76,127152,HPNMFZURTQLUMO-UHFFFAOYSA-N,pKAH1
TBA,4,primary,CC(C)(C)N,base,jnoroozi,C4H11N,10.43,127172,YBRBMKDOPFTVDT-UHFFFAOYSA-N,pKAH1
BA,4,primary,CCCCN,base,jnoroozi,C4H11N,10.69,127187,HQABUPZFAYXKJW-UHFFFAOYSA-N,pKAH1
IBA,4,primary,CC(C)CN,base,jnoroozi,C4H11N,10.72,127195,KDSNLYIMUZNERS-UHFFFAOYSA-N,pKAH1
SBA,4,primary,CCC(C)N,base,jnoroozi,C4H11N,10.74,127201,BHRZNVHARXXAHW-UHFFFAOYSA-N,pKAH1
1AB,4,primary,CCC(CN)O,base,jnoroozi,C4H11NO,9.4,127136,KODLUXHSIZOKTG-UHFFFAOYSA-N,pKAH1
2AB,5,primary,CCC(CO)N,base,jnoroozi,C4H11NO,9.27,127138,JCBPETKZIGVZRE-UHFFFAOYSA-N,pKAH1
4AB,5,primary,C(CCO)CN,base,jnoroozi,C4H11NO,10.32,127147,BLFRQYKZFKYQLO-UHFFFAOYSA-N,pKAH1
AMP,5,primary,CC(C)(CO)N,base,jnoroozi,C4H11NO,9.68,127151,CBTVGIZVANVGBH-UHFFFAOYSA-N,pKAH1
EAE,2,secondary,CCNCCO,base,jnoroozi,C4H11NO,10.0,127156,MIJDSYMOBYNHOT-UHFFFAOYSA-N,pKAH1
2AEE,6,primary,C(COCCO)N,base,jnoroozi,C4H11NO2,9.42,127139,GIAFURWZWWWBQT-UHFFFAOYSA-N,pKAH1
AMPD,6,primary,CC(CO)(CO)N,base,jnoroozi,C4H11NO2,8.84,127150,UXFQFBNBSPQBJW-UHFFFAOYSA-N,pKAH1
DEA,3,secondary,C(CO)NCCO,base,jnoroozi,C4H11NO2,8.92,127153,ZBCBWPMODOFKDW-UHFFFAOYSA-N,pKAH1
nCPEA,3,secondary,C1CC1NCCO,base,jnoroozi,C5H11NO,8.09,127167,GOYFAIZCVVGXNK-UHFFFAOYSA-N,pKAH1
DMIPA,3,tertiary,CC(C)N(C)C,base,jnoroozi,C5H13N,9.47,127155,VMOWKUTXPNPTEN-UHFFFAOYSA-N,pKAH1
PA2,5,primary,CCCCCN,base,jnoroozi,C5H13N,10.7,127197,DPBLXKKOBLCELK-UHFFFAOYSA-N,pKAH1
3DMAP,1,tertiary,CN(C)CCCO,base,jnoroozi,C5H13NO,9.49,127145,PYSGFFTXMUWEOT-UHFFFAOYSA-N,pKAH1
IPAE,3,secondary,CC(C)NCCO,base,jnoroozi,C5H13NO,9.78,127160,RILLZYSZSDGYGV-UHFFFAOYSA-N,pKAH1
1DMA2P,3,tertiary,CC(CN(C)C)O,base,jnoroozi,C5H13NO,9.67,127177,NCXUNZWLEYGQAH-UHFFFAOYSA-N,pKAH1
5AP,3,primary,C(CCN)CCO,base,jnoroozi,C5H13NO,10.47,127184,LQGKDMHENBFVRC-UHFFFAOYSA-N,pKAH1
PAE,3,secondary,CCCNCCO,base,jnoroozi,C5H13NO,9.89,127198,BCLSJHWBDUYDTR-UHFFFAOYSA-N,pKAH1
AEPD,7,primary,CCC(CO)(CO)N,base,jnoroozi,C5H13NO2,8.82,127149,IOAOAKDONABGPZ-UHFFFAOYSA-N,pKAH1
MDEA,1,tertiary,CN(CCO)CCO,base,jnoroozi,C5H13NO2,8.65,127163,CRVGTESFCCXCTH-UHFFFAOYSA-N,pKAH1
2PIPM,3,secondary,C1CCNC(C1)CO,base,jnoroozi,C6H13NO,10.12,127143,PRAYXGYYVXRDDW-UHFFFAOYSA-N,pKAH1
3PIPM,4,secondary,C1CC(CNC1)CO,base,jnoroozi,C6H13NO,10.05,127146,VUNPWIPIOOMCPT-UHFFFAOYSA-N,pKAH1
4PIPM,2,secondary,C1CNCCC1CO,base,jnoroozi,C6H13NO,10.56,127148,XBXHCBLBYQEYTI-UHFFFAOYSA-N,pKAH1
12HEPP,3,tertiary,C1CCN(CC1)CO,base,jnoroozi,C6H13NO,9.57,127175,RJUAEBLXGFKZMS-UHFFFAOYSA-N,pKAH1
PRYE,3,tertiary,C1CCN(C1)CCO,base,jnoroozi,C6H13NO,9.8,127200,XBRDBODLCHKXHI-UHFFFAOYSA-N,pKAH1
2MORE,5,secondary,C1COCCN1CCO,base,jnoroozi,C6H13NO2,7.05,127206,KKFDCBRMNNSAAW-UHFFFAOYSA-N,pKAH1
TRC,4,secondary,C(C(=O)O)NC(CO)(CO)CO,base,jnoroozi,C6H13NO5,8.1,127204,SEQKRHFRPICQDD-UHFFFAOYSA-N,pKAH1
TREA,2,tertiary,CCN(CC)CC,base,jnoroozi,C6H15N,10.7,127174,ZMANZCXQSJIPKH-UHFFFAOYSA-N,pKAH1
EAMP,2,secondary,CCNC(C)(C)CO,base,jnoroozi,C6H15NO,10.0,127157,CPEPOQRXWWGDCU-UHFFFAOYSA-N,pKAH1
IBAE,4,secondary,CC(C)CNCCO,base,jnoroozi,C6H15NO,10.01,127159,VJWZYGQIJWDACM-UHFFFAOYSA-N,pKAH1
MPAE,4,secondary,CCC(C)NCCO,base,jnoroozi,C6H15NO,9.42,127165,YTVUVYDVQNALCM-UHFFFAOYSA-N,pKAH1
TBAE,4,secondary,CC(C)(C)NCCO,base,jnoroozi,C6H15NO,10.04,127171,IUXYVKZUDNLISR-UHFFFAOYSA-N,pKAH1
6AH,7,primary,C(CCCO)CCN,base,jnoroozi,C6H15NO,10.59,127185,SUTWPJHCRAITLU-UHFFFAOYSA-N,pKAH1
BAE,4,secondary,CCCCNCCO,base,jnoroozi,C6H15NO,9.9,127186,LJDSTRZHPWMDPG-UHFFFAOYSA-N,pKAH1
DMA2M1P,5,tertiary,CC(C)(CO)N(C)C,base,jnoroozi,C6H15NO,10.34,127191,XRIBIDPMFSLGFS-UHFFFAOYSA-N,pKAH1
DEEA,2,tertiary,CCN(CC)CCO,base,jnoroozi,C6H15NO,9.75,127194,BFSVOASYOCHEOV-UHFFFAOYSA-N,pKAH1
IPAP,3,secondary,CC(C)NCCCO,base,jnoroozi,C6H15NO,10.35,127196,GZCPWFOPXIDRDP-UHFFFAOYSA-N,pKAH1
DIPA,3,secondary,CC(CNCC(C)O)O,base,jnoroozi,C6H15NO2,8.84,127154,LVTYICIALWPMFW-UHFFFAOYSA-N,pKAH1
EDEA,2,tertiary,CCN(CCO)CCO,base,jnoroozi,C6H15NO2,8.86,127193,AKNUHUCEWALCOI-UHFFFAOYSA-N,pKAH1
TEA,3,tertiary,OCCN(CCO)CCO,base,jnoroozi,C6H15NO3,7.85,127202,GSEJCLTVZPLZKY-UHFFFAOYSA-N,pKAH1
3QCD,2,tertiary,C1CN2CCC1C(C2)O,base,jnoroozi,C7H13NO,10.1,127205,IVLICPVPXWEGCA-UHFFFAOYSA-N,pKAH1
2PIPE,3,secondary,C1CCNC(C1)CCO,base,jnoroozi,C7H15NO,10.42,127142,PTHDBHDZSMGHKF-UHFFFAOYSA-N,pKAH1
nCPnEA,5,secondary,C1CCC(C1)NCCO,base,jnoroozi,C7H15NO,10.1,127168,DWEWXGZAFBYSSR-UHFFFAOYSA-N,pKAH1
1PE,3,tertiary,C1CCN(CC1)CCO,base,jnoroozi,C7H15NO,8.96,127179,KZTWONRVIPPDKH-UHFFFAOYSA-N,pKAH1
PRLD12PD,3,tertiary,C1CCN(C1)CC(CO)O,base,jnoroozi,C7H15NO2,9.64,127199,MFPZRSWYUKWRIQ-UHFFFAOYSA-N,pKAH1
1DEA2P,2,tertiary,CCN(CC)CC(C)O,base,jnoroozi,C7H17NO,10.18,127176,BHUXAQIVYLDUQV-UHFFFAOYSA-N,pKAH1
3DEA1P,2,tertiary,CCN(CC)CCCO,base,jnoroozi,C7H17NO,10.29,127181,WKCYFSZDBICRKL-UHFFFAOYSA-N,pKAH1
4IPB,3,secondary,CC(C)NCCCCO,base,jnoroozi,C7H17NO,10.45,127183,IPLWOCGPIGUXOR-UHFFFAOYSA-N,pKAH1
DEA12PD,2,tertiary,CCN(CC)CC(CO)O,base,jnoroozi,C7H17NO2,9.68,127188,LTACQVCHVAUOKN-UHFFFAOYSA-N,pKAH1
nCHEA,6,secondary,C1CCC(CC1)NCCO,base,jnoroozi,C8H17NO,10.1,127166,MGUMZJAQENFQKN-UHFFFAOYSA-N,pKAH1
1M2PPE,1,tertiary,CN1CCCCC1CCO,base,jnoroozi,C8H17NO,9.89,127178,OVMRRCXDBKEQIU-UHFFFAOYSA-N,pKAH1
1PP,3,tertiary,C1CCN(CC1)CCCO,base,jnoroozi,C8H17NO,9.49,127180,PLRXAFVBCHEMGD-UHFFFAOYSA-N,pKAH1
3PPE,3,tertiary,C1CCN(CC1)CC(CO)O,base,jnoroozi,C8H17NO2,9.49,127182,MECNWXGGNCJFQJ-UHFFFAOYSA-N,pKAH1
2DIPA,3,tertiary,CC(C)N(CCO)C(C)C,base,jnoroozi,C8H19NO,9.42,127141,ZYWUVGFIXPNBDL-UHFFFAOYSA-N,pKAH1
DEAB,2,tertiary,CCN(CC)CCC(C)O,base,jnoroozi,C8H19NO,10.35,127189,QUDBKQDNUJKSAM-UHFFFAOYSA-N,pKAH1
DMAH,1,tertiary,CN(C)CCCCCCO,base,jnoroozi,C8H19NO,10.01,127192,QCXNXRUTKSIZND-UHFFFAOYSA-N,pKAH1
tBDEA,4,tertiary,CC(C)(C)N(CCO)CCO,base,jnoroozi,C8H19NO2,9.06,127173,XHJGXOOOMKCJPP-UHFFFAOYSA-N,pKAH1
DEAEEO,2,tertiary,CCN(CC)CCOCCO,base,jnoroozi,C8H19NO2,10.15,127190,VKBVRNHODPFVHK-UHFFFAOYSA-N,pKAH1
TMPOL,6,secondary,CC1(CC(CC(N1)(C)C)O)C,base,jnoroozi,C9H19NO,9.99,127203,VDVUCLWJZJHFAV-UHFFFAOYSA-N,pKAH1
